id,name,aliases,cuisines,grocery_category,seasonality,_wikidata
onion,Onion,,,,,[object Object]
tomato,Tomato,"TomatoUSB,Tomato Records,The Tomato Music Co. Ltd.,Tomato, AR,Tomato, Arkansas",,,,[object Object]
garlic,Garlic,,,,,[object Object]
cucumber,Cucumber,"Cucumber Parish,Parish of Cucumber,Cucumber, West Virginia,Cucumber, WV",,produce,,[object Object]
yogurt,Yogurt,,,,,
feta,Feta,,,,,[object Object]
parsley,Parsley,"Parsley, West Virginia,Parsley, WV,Paseri",,,,[object Object]
basil,Basil,"Basel,Basil of Cherson,Vladimir Mikhaylovich Rodzyanko,Vladimir Rodzyanko,Vasily,Bishop Basil,Basil (first name),Basil (given name),Basil of Baker Street,Vasilios Komvopoulos,Vasilios, Metropolitan of Drama,Saint Basile,Marius Förster,Basil (Omori),IMO 7532650,Bajiru,Basil the Kicker,Kicker Basil,Kicking Basil,Basil, OH,Basil, Ohio",,,,[object Object]
cilantro,Cilantro,,,,,[object Object]
mint,Mint,"Intuit Mint,Mint.com,Mint, Arizona,livemint.com,Mint News,Goonshipas Peonpaweevorakul,IMO 9861081",,,,[object Object]
dill,Dill,"Dill district,Dillkreis,Dill, Tennessee,Dill, TN",Arab,,,[object Object]
spinach,Spinach,Eulithis mellinata,,produce,,[object Object]
kale,Kale,"Kale, Denizli,Kale Seramik,Kale, Konjic,Kale, West Virginia,Kale, WV,Khale, Kha Lel,IMO 7431727,Kale (Dragon Ball),Jupiter XXXVII,S/2001 J 8",,,,[object Object]
lettuce,Lettuce,,,,,[object Object]
arugula,Arugula,,,,,
olive-oil,Olive oil,,,,,
butter,Butter,"Never 2 Big,This Is Butter,thisisbutter.com,ThisIsButter.com,Butter's Final Meal",,,,[object Object]
milk,Milk,"xkcd 858,Dan Donigan,Daniel Donigan,Milk Corp.,W2vqXikAACcA8rV5",,,,[object Object]
cream,Cream,"The Cream,S. Splurge,Cream, WI,Cream, Wisconsin",,,,[object Object]
yogurt,Yogurt,xkcd 737,,,,[object Object]
cheddar-cheese,Cheddar cheese,cheddar,,,,[object Object]
mozzarella,Mozzarella,,,,,
parmesan,Parmesan,"Parmesan cheese,Parmigiano,Parmigiano Reggiano,Parmigiano-Reggiano",,,,[object Object]
egg,Egg,"Egg SZ,Egg chair,Egg Chair,Egg (Austria),Egg (Vorarlberg),Fabio Medina,Goldballs,Eck,Thalgau-Egg,Egg (Familie, ZH),Egg (Familie, SO),SO-10805,BE-12161,AR-880,SG-418,AG-4516,AG-4522,HKBU Heritage,Egg ZH",,,,[object Object]
flour,Flour,,,,,[object Object]
sugar,Sugar,"Sugar, Honey and Pepper,Zucchero, miele e peperoncino,That Sugar Baby o' Mine,Sugar Sugar,Azucár,Sugar (2024 TV series),Austin Kim,IMO 7119989,IMO 7640603",,,,[object Object]
salt,Salt,"Saltus,As Salt,Salt, Staffordshire,SaltStack,Salt, Aberystwyth,Salt, Cardiff Bay, Cardiff,Salt (given name),IMO 7014115",,,,[object Object]
