a_id,b_id,a,b,count,pmi,lift,cuisines
rice,soy-sauce,rice,soy sauce,3,2.3923,5.25,chinese|japanese
cucumber,lemon,cucumber,lemon,3,2.3923,5.25,mediterranean|middle-eastern
basil,parmesan,basil,parmesan,2,2.8074,7,italian
coriander,cumin,coriander,cumin,2,2.8074,7,indian
beef-broth,beef-chuck,beef broth,beef chuck,1,4.3923,21,mexican
egg,peas,egg,peas,1,4.3923,21,chinese
avocado,salt,avocado,salt,1,4.3923,21,mexican
eggplant,zucchini,eggplant,zucchini,1,4.3923,21,mediterranean
bell-pepper,zucchini,bell pepper,zucchini,1,4.3923,21,mediterranean
thyme,zucchini,thyme,zucchini,1,4.3923,21,mediterranean
bell-pepper,eggplant,bell pepper,eggplant,1,4.3923,21,mediterranean
eggplant,thyme,eggplant,thyme,1,4.3923,21,mediterranean
bell-pepper,thyme,bell pepper,thyme,1,4.3923,21,mediterranean
miso,tofu,miso,tofu,1,4.3923,21,japanese
miso,seaweed,miso,seaweed,1,4.3923,21,japanese
seaweed,tofu,seaweed,tofu,1,4.3923,21,japanese
pasta,pine-nuts,pasta,pine nuts,1,4.3923,21,italian
carrot,lentil,carrot,lentil,1,4.3923,21,mediterranean
celery,lentil,celery,lentil,1,4.3923,21,mediterranean
carrot,celery,carrot,celery,1,4.3923,21,mediterranean
beef,star-anise,beef,star anise,1,4.3923,21,vietnamese
beef,clove,beef,clove,1,4.3923,21,vietnamese
beef,rice-noodles,beef,rice noodles,1,4.3923,21,vietnamese
clove,star-anise,clove,star anise,1,4.3923,21,vietnamese
rice-noodles,star-anise,rice noodles,star anise,1,4.3923,21,vietnamese
clove,rice-noodles,clove,rice noodles,1,4.3923,21,vietnamese
bulgur,parsley,bulgur,parsley,1,4.3923,21,middle-eastern
coconut-milk,shrimp,coconut milk,shrimp,1,4.3923,21,thai
curry-powder,shrimp,curry powder,shrimp,1,4.3923,21,thai
coconut-milk,curry-powder,coconut milk,curry powder,1,4.3923,21,thai
flank-steak,low-sodium-soy-sauce,flank steak,low-sodium soy sauce,1,4.3923,21,asian
brown-sugar,flank-steak,brown sugar,flank steak,1,4.3923,21,asian
flank-steak,lime-juice,flank steak,lime juice,1,4.3923,21,asian
crushed-red-pepper-flakes,flank-steak,crushed red pepper flakes,flank steak,1,4.3923,21,asian
black-pepper,flank-steak,black pepper,flank steak,1,4.3923,21,asian
brown-sugar,low-sodium-soy-sauce,brown sugar,low-sodium soy sauce,1,4.3923,21,asian
lime-juice,low-sodium-soy-sauce,lime juice,low-sodium soy sauce,1,4.3923,21,asian
crushed-red-pepper-flakes,low-sodium-soy-sauce,crushed red pepper flakes,low-sodium soy sauce,1,4.3923,21,asian
