a_id,b_id,a,b,count,pmi,lift,cuisines
avocado,cilantro,avocado,cilantro,1,3.3923,10.5,mexican
avocado,lime,avocado,lime,1,2.0704,4.2,mexican
avocado,onion,avocado,onion,1,1.585,3,mexican
avocado,salt,avocado,salt,1,4.3923,21,mexican
basil,garlic,basil,garlic,2,0,1,italian
basil,mozzarella,basil,mozzarella,1,2.8074,7,italian
basil,olive-oil,basil,olive oil,3,1.2224,2.3333,italian
basil,parmesan,basil,parmesan,2,2.8074,7,italian
basil,pasta,basil,pasta,1,2.8074,7,italian
basil,pine-nut,basil,pine nut,1,2.8074,7,italian
basil,spaghetti,basil,spaghetti,1,2.8074,7,italian
basil,tomato,basil,tomato,2,1.2224,2.3333,italian
beef,clove,beef,clove,1,4.3923,21,vietnamese
beef,ginger,beef,ginger,1,1.585,3,vietnamese
beef,onion,beef,onion,1,1.585,3,vietnamese
beef,rice-noodle,beef,rice noodle,1,4.3923,21,vietnamese
beef,star-anise,beef,star anise,1,4.3923,21,vietnamese
beef-broth,beef-chuck,beef broth,beef chuck,1,4.3923,21,mexican
beef-broth,chili-powder,beef broth,chili powder,1,3.3923,10.5,mexican
beef-broth,cumin,beef broth,cumin,1,2.8074,7,mexican
beef-broth,garlic,beef broth,garlic,1,0.4854,1.4,mexican
beef-broth,lime,beef broth,lime,1,2.0704,4.2,mexican
beef-broth,onion,beef broth,onion,1,1.585,3,mexican
beef-broth,oregano,beef broth,oregano,1,3.3923,10.5,mexican
beef-chuck,chili-powder,beef chuck,chili powder,1,3.3923,10.5,mexican
beef-chuck,cumin,beef chuck,cumin,1,2.8074,7,mexican
beef-chuck,garlic,beef chuck,garlic,1,0.4854,1.4,mexican
beef-chuck,lime,beef chuck,lime,1,2.0704,4.2,mexican
beef-chuck,onion,beef chuck,onion,1,1.585,3,mexican
beef-chuck,oregano,beef chuck,oregano,1,3.3923,10.5,mexican
bell-pepper,eggplant,bell pepper,eggplant,1,4.3923,21,mediterranean
bell-pepper,garlic,bell pepper,garlic,1,0.4854,1.4,mediterranean
bell-pepper,olive-oil,bell pepper,olive oil,1,1.2224,2.3333,mediterranean
bell-pepper,thyme,bell pepper,thyme,1,4.3923,21,mediterranean
bell-pepper,zucchini,bell pepper,zucchini,1,4.3923,21,mediterranean
black-pepper,brown-sugar,black pepper,brown sugar,1,4.3923,21,asian
black-pepper,crushed-red-pepper-flake,black pepper,crushed red pepper flake,1,4.3923,21,asian
black-pepper,flank-steak,black pepper,flank steak,1,4.3923,21,asian
black-pepper,garlic,black pepper,garlic,1,0.4854,1.4,asian
black-pepper,ginger,black pepper,ginger,1,1.585,3,asian
black-pepper,lime-juice,black pepper,lime juice,1,4.3923,21,asian
black-pepper,low-sodium-soy-sauce,black pepper,low-sodium soy sauce,1,4.3923,21,asian
black-pepper,sesame-oil,black pepper,sesame oil,1,3.3923,10.5,asian
broccoli,garlic,broccoli,garlic,1,0.4854,1.4,chinese
broccoli,ginger,broccoli,ginger,1,1.585,3,chinese
broccoli,rice,broccoli,rice,1,2.3923,5.25,chinese
broccoli,sesame-oil,broccoli,sesame oil,1,3.3923,10.5,chinese
broccoli,soy-sauce,broccoli,soy sauce,1,2.8074,7,chinese
brown-sugar,crushed-red-pepper-flake,brown sugar,crushed red pepper flake,1,4.3923,21,asian
brown-sugar,flank-steak,brown sugar,flank steak,1,4.3923,21,asian
brown-sugar,garlic,brown sugar,garlic,1,0.4854,1.4,asian
brown-sugar,ginger,brown sugar,ginger,1,1.585,3,asian
brown-sugar,lime-juice,brown sugar,lime juice,1,4.3923,21,asian
brown-sugar,low-sodium-soy-sauce,brown sugar,low-sodium soy sauce,1,4.3923,21,asian
brown-sugar,sesame-oil,brown sugar,sesame oil,1,3.3923,10.5,asian
bulgur,cucumber,bulgur,cucumber,1,2.8074,7,middle-eastern
bulgur,lemon,bulgur,lemon,1,2.3923,5.25,middle-eastern
bulgur,olive-oil,bulgur,olive oil,1,1.2224,2.3333,middle-eastern
bulgur,parsley,bulgur,parsley,1,4.3923,21,middle-eastern
bulgur,tomato,bulgur,tomato,1,1.8074,3.5,middle-eastern
carrot,celery,carrot,celery,1,4.3923,21,mediterranean
carrot,garlic,carrot,garlic,1,0.4854,1.4,mediterranean
carrot,lentil,carrot,lentil,1,4.3923,21,mediterranean
carrot,olive-oil,carrot,olive oil,1,1.2224,2.3333,mediterranean
carrot,onion,carrot,onion,1,1.585,3,mediterranean
celery,garlic,celery,garlic,1,0.4854,1.4,mediterranean
celery,lentil,celery,lentil,1,4.3923,21,mediterranean
